,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,0.008122014999389648,0.004198139291778208,0.004872512817382812,0.0023758282443365033,0.1,scale,linear,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9523809523809523,0.9682539682539683,0.971577380952381,0.011906415229109131,13,0.975,0.9875,0.9871794871794872,0.9615384615384616,0.9743589743589743,0.9771153846153846,0.009631610241534859,12,0.9615384615384616,0.98,0.98,0.9444444444444444,0.9615384615384616,0.9655042735042736,0.013380761580742624,14
1,0.003979778289794922,0.00033904559135825317,0.002887439727783203,7.506080292750944e-05,0.1,scale,poly,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.984375,0.953125,0.9841269841269841,0.9523809523809523,1.0,0.9748015873015874,0.018900436854488355,9,0.9875,0.9458333333333333,0.9871794871794872,0.9455128205128205,1.0,0.9732051282051282,0.022950687496058806,20,0.98,0.9538706256627784,0.98,0.9532608695652174,1.0,0.9734262990455992,0.017785710997728042,9
2,0.003744077682495117,0.00012140384547711345,0.003298521041870117,7.681253139176912e-05,0.1,scale,rbf,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.953125,0.984375,0.9841269841269841,0.9206349206349206,0.9841269841269841,0.9652777777777777,0.025361245072702807,22,0.9625,0.9875,0.9871794871794872,0.9358974358974359,0.9871794871794872,0.9720512820512821,0.020468100290941836,21,0.9444444444444444,0.98,0.98,0.9137931034482758,0.98,0.959647509578544,0.026744836324410826,22
3,0.003873395919799805,5.903070690710277e-05,0.0027559280395507814,4.1365561636403056e-05,0.1,scale,sigmoid,"{'svc__C': 0.1, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid'}",0.90625,0.921875,0.8888888888888888,0.8571428571428571,0.9523809523809523,0.9053075396825397,0.03187690039488765,39,0.925,0.9375,0.9102564102564102,0.8846153846153846,0.9615384615384616,0.9237820512820513,0.02581543249488752,37,0.9,0.9137931034482758,0.8870967741935484,0.8636363636363636,0.9444444444444444,0.9017941371445264,0.026975066228064584,39
4,0.0031423091888427733,6.153571979788257e-05,0.002670574188232422,0.00016023249781002802,0.1,auto,linear,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9523809523809523,0.9682539682539683,0.971577380952381,0.011906415229109131,13,0.975,0.9875,0.9871794871794872,0.9615384615384616,0.9743589743589743,0.9771153846153846,0.009631610241534859,12,0.9615384615384616,0.98,0.98,0.9444444444444444,0.9615384615384616,0.9655042735042736,0.013380761580742624,14
5,0.006533527374267578,0.0032396825737835318,0.00784163475036621,0.009998781232725032,0.1,auto,poly,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'poly'}",0.625,0.625,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6214285714285714,0.0029160592175990112,44,0.5,0.5,0.5,0.5,0.5,0.5,0.0,46,0.8125,0.8125,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8107142857142856,0.0014580296087995056,44
6,0.0038100719451904298,0.00015275510923679279,0.0033052444458007814,0.0001917409232188495,0.1,auto,rbf,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'rbf'}",0.9375,0.96875,0.9682539682539683,0.9047619047619048,0.9841269841269841,0.9526785714285714,0.028341779897887436,32,0.95,0.975,0.9743589743589743,0.9230769230769231,0.9871794871794872,0.961923076923077,0.02286800014513158,32,0.9285714285714286,0.9615384615384616,0.9615384615384616,0.9,0.98,0.9463296703296702,0.028488942638764204,32
7,0.004066371917724609,0.0001218385284020841,0.0028316020965576173,5.614595046395229e-05,0.1,auto,sigmoid,"{'svc__C': 0.1, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid'}",0.90625,0.9375,0.9206349206349206,0.8571428571428571,0.9523809523809523,0.914781746031746,0.03273869648317547,38,0.925,0.95,0.9358974358974359,0.8846153846153846,0.9615384615384616,0.9314102564102564,0.02647366051105705,36,0.9,0.9285714285714286,0.9137931034482758,0.8636363636363636,0.9444444444444444,0.9100890680201026,0.027550870974754654,38
8,0.003097391128540039,4.742566857625708e-05,0.0025779247283935548,6.76817562723157e-05,0.1,0.1,linear,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9523809523809523,0.9682539682539683,0.971577380952381,0.011906415229109131,13,0.975,0.9875,0.9871794871794872,0.9615384615384616,0.9743589743589743,0.9771153846153846,0.009631610241534859,12,0.9615384615384616,0.98,0.98,0.9444444444444444,0.9615384615384616,0.9655042735042736,0.013380761580742624,14
9,0.003184223175048828,7.845624790002086e-05,0.00259251594543457,5.0509278436294956e-05,0.1,0.1,poly,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'poly'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,1.0,0.9842757936507937,0.009882864607470057,1,0.975,0.9875,0.9871794871794872,0.9871794871794872,1.0,0.9873717948717949,0.007907253305184249,1,0.9615384615384616,0.98,0.98,0.98,1.0,0.9803076923076922,0.012168443035867801,1
10,0.003606414794921875,7.555929771528632e-05,0.003195953369140625,8.890198832472114e-05,0.1,0.1,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.96875,0.984375,0.9841269841269841,0.9365079365079365,0.9841269841269841,0.971577380952381,0.018529026686039722,13,0.975,0.9875,0.9871794871794872,0.9487179487179487,0.9871794871794872,0.9771153846153846,0.014975324872255252,12,0.9615384615384616,0.98,0.98,0.9285714285714286,0.98,0.966021978021978,0.020043956043956025,13
11,0.003820037841796875,2.357649951559925e-05,0.002754688262939453,4.511570020735873e-05,0.1,0.1,sigmoid,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'sigmoid'}",0.90625,0.84375,0.8253968253968254,0.7936507936507936,0.9047619047619048,0.8547619047619047,0.044427833134386405,42,0.925,0.875,0.858974358974359,0.8333333333333333,0.9230769230769231,0.8830769230769231,0.03599483124557065,41,0.9,0.8529411764705883,0.8428571428571429,0.8243243243243243,0.9,0.8640245287304111,0.03077490606986888,42
12,0.0031470298767089845,9.965983303733333e-05,0.0025809764862060546,6.227840133518415e-05,0.1,1,linear,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9523809523809523,0.9682539682539683,0.971577380952381,0.011906415229109131,13,0.975,0.9875,0.9871794871794872,0.9615384615384616,0.9743589743589743,0.9771153846153846,0.009631610241534859,12,0.9615384615384616,0.98,0.98,0.9444444444444444,0.9615384615384616,0.9655042735042736,0.013380761580742624,14
13,0.0030966281890869142,0.00015262472185036366,0.002597522735595703,9.009691417900116e-05,0.1,1,poly,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'poly'}",0.96875,0.953125,0.9841269841269841,0.9365079365079365,0.9682539682539683,0.9621527777777779,0.016141699206179815,27,0.975,0.9541666666666666,0.9871794871794872,0.9407051282051282,0.9663461538461539,0.9646794871794873,0.01612966240206135,23,0.9615384615384616,0.9471794871794872,0.98,0.9287941787941788,0.9663461538461539,0.9567716562716564,0.01748541302064844,27
14,0.004329061508178711,7.483937551169976e-05,0.0036023139953613283,9.284821511427661e-05,0.1,1,rbf,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.625,0.625,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.6214285714285714,0.0029160592175990112,44,0.5,0.5,0.5,0.5,0.5,0.5,0.0,46,0.8125,0.8125,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8107142857142856,0.0014580296087995056,44
15,0.0041750907897949215,3.0842039712659865e-05,0.0028108596801757813,3.847564724769133e-05,0.1,1,sigmoid,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'sigmoid'}",0.609375,0.625,0.6190476190476191,0.6031746031746031,0.6031746031746031,0.6119543650793651,0.008732976637572165,46,0.4875,0.5,0.5,0.48717948717948717,0.48717948717948717,0.49237179487179483,0.006229502878593002,48,0.30952380952380953,0.8125,0.8095238095238095,0.3064516129032258,0.3064516129032258,0.5088901689708142,0.24668571039860857,48
16,0.0033220767974853514,7.801300735176046e-05,0.0027553081512451173,0.00011970593945777632,1,scale,linear,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.96875,0.984375,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9811011904761905,0.006176342228679897,3,0.975,0.9875,0.9871794871794872,0.9871794871794872,0.9871794871794872,0.9848076923076924,0.004905417043515153,3,0.9615384615384616,0.98,0.98,0.98,0.98,0.9763076923076923,0.007384615384615366,4
17,0.003360128402709961,0.00010763774779028732,0.002866697311401367,0.00023682809569202626,1,scale,poly,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'poly'}",0.96875,0.984375,0.9841269841269841,0.9682539682539683,1.0,0.9811011904761905,0.011786783127205668,3,0.975,0.9875,0.9871794871794872,0.9743589743589743,1.0,0.9848076923076924,0.009476778775680183,3,0.9615384615384616,0.98,0.98,0.9615384615384616,1.0,0.9766153846153847,0.014313481045677534,3
18,0.0034818649291992188,0.0001755037363681061,0.0029399871826171877,9.35454854217473e-05,1,scale,rbf,"{'svc__C': 1, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.953125,0.984375,0.9841269841269841,0.9365079365079365,0.9841269841269841,0.9684523809523811,0.020001461468711554,19,0.9625,0.9875,0.9871794871794872,0.9487179487179487,0.9871794871794872,0.9746153846153847,0.016119468915150707,17,0.9444444444444444,0.98,0.98,0.9285714285714286,0.98,0.9626031746031746,0.02188994207671515,19
